instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
matplotlib__matplotlib-24177,269,31,45685,22346,23093,747,22592,13865,381749
matplotlib__matplotlib-24570,270,35,25101,16023,17165,1142,7936,28670,246541
matplotlib__matplotlib-24627,271,64,51996,17231,19100,1869,32896,8248,522012
matplotlib__matplotlib-24637,272,64,61407,24172,25951,1779,35456,8137,651295
matplotlib__matplotlib-24870,273,39,78697,23643,24937,1294,53760,13404,400809
matplotlib__matplotlib-24970,274,15,6369,4334,4705,371,1664,6502,37345
matplotlib__matplotlib-25122,275,29,31549,12247,13309,1062,18240,6377,180797
matplotlib__matplotlib-25287,276,36,15444,14308,15444,1136,0,4821,261588
matplotlib__matplotlib-25311,277,64,51452,21980,23996,2016,27456,9404,788860
matplotlib__matplotlib-25332,278,12,5364,4945,5364,419,0,9606,28980
matplotlib__matplotlib-25479,279,54,62338,25874,27330,1456,35008,27021,738114
matplotlib__matplotlib-25775,280,64,62078,30843,32830,1987,29248,10691,991294
matplotlib__matplotlib-25960,281,30,29055,11227,12223,996,16832,16675,188159
matplotlib__matplotlib-26113,282,14,9971,9402,9971,569,0,4250,94259
matplotlib__matplotlib-26208,283,64,87262,22146,24030,1884,63232,6103,778782
matplotlib__matplotlib-26291,284,48,38740,16799,18260,1461,20480,30979,518548
matplotlib__matplotlib-26342,285,64,50918,23698,25702,2004,25216,11620,850726
matplotlib__matplotlib-26466,286,64,72897,25482,27457,1975,45440,12071,881985
mwaskom__seaborn-3069,287,64,76528,25864,28016,2152,48512,10999,1015088
mwaskom__seaborn-3187,288,64,54700,29634,31404,1770,23296,16299,1061740
pallets__flask-5014,289,48,68933,18597,20357,1760,48576,6635,437893
psf__requests-1142,290,64,63640,20432,22424,1992,41216,20531,845464
psf__requests-1724,291,42,31804,16513,18044,1531,13760,11021,508028
psf__requests-1766,292,16,9890,9490,9890,400,0,2424,70562
psf__requests-1921,293,64,69125,25406,27269,1863,41856,20001,928325
psf__requests-2317,294,64,42917,18818,20773,1955,22144,10946,485861
psf__requests-2931,295,48,37831,14393,16199,1806,21632,17134,409479
psf__requests-5414,296,29,19020,6584,7500,916,11520,8791,119820
psf__requests-6028,297,15,25136,10448,10864,416,14272,11095,106352
pydata__xarray-2905,298,44,24229,13816,15077,1261,9152,14733,319397
pydata__xarray-3095,299,64,52147,26242,28339,2097,23808,18950,918899
pydata__xarray-3151,300,64,67653,32611,34565,1954,33088,20816,1011141
pydata__xarray-3305,301,51,51460,21015,22532,1517,28928,12842,517444
pydata__xarray-3677,302,20,23974,11320,11814,494,12160,4025,118438
pydata__xarray-3993,303,64,47465,17230,19305,2075,28160,6209,609833
pydata__xarray-4075,304,27,13703,12696,13703,1007,0,5822,188679
pydata__xarray-4094,305,29,12959,12137,12959,822,0,8255,188255
pydata__xarray-4356,306,55,41133,28957,30765,1808,10368,24827,684717
pydata__xarray-4629,307,7,4731,3468,3643,175,1088,869,13819
pydata__xarray-4687,308,64,41525,19667,21621,1954,19904,9769,674613
pydata__xarray-4695,309,64,62049,30253,32289,2036,29760,26972,1004769
pydata__xarray-4966,310,16,24483,8485,8995,510,15488,4224,85667
pydata__xarray-6461,311,64,27465,19313,21193,1880,6272,21334,607113
pydata__xarray-6599,312,38,21857,20840,21857,1017,0,17053,385569
pydata__xarray-6721,313,63,61913,25825,27609,1784,34304,17638,989145
pydata__xarray-6744,314,30,36760,12248,13272,1024,23488,15867,222744
pydata__xarray-6938,315,47,25715,19669,21107,1438,4608,39425,476595
pydata__xarray-6992,316,41,20134,15437,16742,1305,3392,11144,271782
pydata__xarray-7229,317,38,44608,19968,21248,1280,23360,10939,457088
pydata__xarray-7233,318,25,26485,9739,10485,746,16000,8767,142517
pydata__xarray-7393,319,64,65392,21816,23792,1976,41600,16032,742256
pylint-dev__pylint-4551,320,64,99384,54056,55864,1808,43520,28100,1886520
pylint-dev__pylint-4604,321,63,34184,22341,23944,1603,10240,13409,752072
pylint-dev__pylint-4661,322,61,90562,44949,46914,1965,43648,22044,1229058
pylint-dev__pylint-4970,323,64,53205,32706,34581,1875,18624,26259,1044821
pylint-dev__pylint-6386,324,49,51411,20326,21715,1389,29696,8428,580179
pylint-dev__pylint-6528,325,64,69361,28786,30641,1855,38720,10130,1127729
pylint-dev__pylint-6903,326,52,38939,33881,35547,1666,3392,14636,775131
pylint-dev__pylint-7080,327,62,104862,31665,33694,2029,71168,31945,1341150
pylint-dev__pylint-7277,328,35,37477,24062,24997,935,12480,6377,523365
pylint-dev__pylint-8898,329,64,48338,34217,36114,1897,12224,24487,1150994
pytest-dev__pytest-10051,330,15,13418,9321,9834,513,3584,5147,95722
pytest-dev__pytest-10081,331,32,46123,13441,14379,938,31744,12357,282667
pytest-dev__pytest-10356,332,64,47220,31221,33012,1791,14208,15586,1241716
pytest-dev__pytest-5262,333,17,6937,6445,6937,492,0,3909,75097
